title,slug,client,industry,services,summary,year,duration,projectUrl,featured,publishedAt,technologies,results,testimonialQuote,testimonialAuthor,testimonialRole,content
A calmer sign-up for a challenger bank,,Lumen Bank,fintech,design|web-development|performance,Lumen was losing one in three applicants before they finished onboarding. We rebuilt the flow around one question per screen and cut the median time to account by half.,2026,14 weeks,https://lumen-bank.example,true,2026-08-12,Next.js|TypeScript|Payload CMS|MongoDB|Tailwind CSS,-52%:Time to open an account|+31%:Completed applications|98:Lighthouse performance score,"They treated onboarding as a product, not a form. Completion went up in the first week and support tickets fell.",Priya Raman,"Head of Growth, Lumen Bank","## The challenge\n\nLumen's application asked for everything up front: identity, income, employment and a proof-of-address upload on a single long page. Mobile users, who made up most of the traffic, abandoned it at the document step.\n\n## What we did\n\nWe mapped every field to the regulatory requirement behind it, dropped the ones that could be collected after approval, and split the rest into a short sequence with clear progress. Copy for errors and edge cases was rewritten with the compliance team so it stayed accurate and readable.\n\n- One question per screen, saved as you go
- Document upload deferred until after a soft credit check
- Editable content in Payload so compliance can update wording without a release\n\n## The outcome\n\nThe new flow shipped behind a flag and ran against the old one for three weeks before we switched fully. Median time to open an account halved and completed applications rose by almost a third."
A patient portal people actually open,,Fernwood Health,healthcare,design|web-development|cms,Fernwood's portal was a login wall in front of a PDF list. We turned it into a booking-first dashboard that works on a five-year-old phone.,2026,18 weeks,https://portal.fernwood-health.example,false,2026-07-03,Next.js|Node.js|MongoDB|Tailwind CSS,+64%:Online bookings|-38%:Reception phone volume,Our receptionists finally have time for the people standing in front of them.,Dr. Amina Okafor,"Medical Director, Fernwood Health","## The challenge\n\nPatients could view results online but not book, reschedule or message the practice. Most still phoned, and the reception team spent their day on calls that a good interface could have handled.\n\n## What we did\n\nWe interviewed reception staff and a dozen patients, then rebuilt the portal around the three jobs people actually came to do: book, reschedule, and read a result. Accessibility was a hard requirement from the first wireframe, tested with a screen reader and at 200% zoom.\n\n## The outcome\n\nBookings moved online at a rate the practice had not expected, and call volume dropped enough that opening hours for phone support could be reduced without complaints."
Headless storefront for an outdoor retailer,,Oakline Outfitters,ecommerce,ecommerce|web-development|seo|performance,Oakline's monolithic shop platform was slow and hard to change. A headless rebuild made category pages instant and gave merchandisers control over content.,2026,20 weeks,https://oakline.example,true,2026-06-18,Next.js|Payload CMS|MongoDB|Stripe|Tailwind CSS,2.1s → 0.7s:Largest Contentful Paint|+22%:Mobile conversion|+140%:Organic category traffic,We went from waiting on developers to launching a campaign page in an afternoon.,Marcus Lindqvist,"E-commerce Director, Oakline Outfitters","## The challenge\n\nCategory pages took over four seconds to become usable on mobile, and every merchandising change needed a developer. Peak-season traffic regularly pushed the old platform to its limits.\n\n## What we did\n\nWe separated content from commerce: Payload holds editorial content and landing pages, the shop platform stays the source of truth for stock and price, and Next.js stitches them together with incremental static regeneration so pages are fast and still fresh.\n\n- Incremental regeneration for category and product pages
- Structured data and clean URL migration to protect existing rankings
- Editor-friendly campaign pages built from reusable blocks\n\n## The outcome\n\nCategory pages became near-instant, mobile conversion climbed, and the site held steady through the next seasonal peak with no scaling incidents."
"One place for a school's students, parents and staff",,Meridian Academy,education,web-development|cms|design,"Meridian ran its communications through five tools. We consolidated them into one site with role-based news, timetables and a calendar parents can subscribe to.",2026,16 weeks,,false,2026-05-09,Next.js|Payload CMS|MongoDB,5 → 1:Tools replaced|+48%:Parent newsletter engagement,Parents told us it was the first time they could find things without ringing the office.,Helen Carter,"Head Teacher, Meridian Academy","## The challenge\n\nAnnouncements went out by email, a legacy intranet, two messaging apps and a noticeboard. Information was duplicated, contradicted itself, and reached parents late.\n\n## What we did\n\nWe built one publishing workflow: staff write once in Payload, choose who should see it, and the site handles the rest. Calendar feeds and printable timetables came from the same content, so nothing had to be retyped.\n\n## The outcome\n\nThe office now publishes in a single place and the number of ""where do I find…"" enquiries fell sharply within the first term."
A direct-booking site for a boutique hotel group,,Saltmarsh Hotels,hospitality,web-development|seo|branding,"Saltmarsh relied on booking platforms that took a large cut. A faster, better-written site shifted a meaningful share of reservations to direct.",2025,12 weeks,https://saltmarsh-hotels.example,false,2026-04-14,Next.js|Tailwind CSS|MongoDB,+37%:Direct bookings|-19%:Commission paid to platforms,The site finally sounds like our hotels. Guests mention it in their reviews.,Tomasz Wieczorek,"Managing Director, Saltmarsh Hotels","## The challenge\n\nThe group's own site was a thin brochure that sent visitors to third-party platforms as soon as they showed interest. Photography was heavy and copy was generic.\n\n## What we did\n\nWe rewrote every property page around what guests actually ask before booking, rebuilt image handling so galleries load quickly, and put availability search above the fold with a clear price promise.\n\n## The outcome\n\nDirect bookings grew steadily over the following two quarters and the group saw its platform commission bill drop."
Making renewable energy tariffs easy to compare,,Greenloop Energy,sustainability,design|web-development|seo,Greenloop's tariff calculator confused visitors and scared off good leads. A plain-language redesign quadrupled completed quotes.,2025,10 weeks,https://greenloop-energy.example,true,2026-03-05,Next.js|TypeScript|Tailwind CSS|Payload CMS,4x:Completed quotes|+86%:Organic traffic to guides,"Customers now arrive already understanding the tariff, so sales conversations start further along.",Sofia Marques,"Marketing Lead, Greenloop Energy","## The challenge\n\nThe quote calculator asked for a meter reference most people did not have to hand, and results were shown as a wall of unit rates. Visitors left without a clear next step.\n\n## What we did\n\nWe replaced the meter reference with a simple estimate based on household size, showed results as a monthly cost with the assumptions visible, and wrote a set of guides in answer to the questions the sales team heard most.\n\n- Estimate-first calculator with editable assumptions
- Guides written with the sales team and published from the CMS
- Structured data for tariffs and FAQs\n\n## The outcome\n\nCompleted quotes quadrupled and the guides became a steady source of organic traffic."
A property search that respects the reader,,Harbor & Vale Realty,real-estate,web-development|performance|seo,Harbor & Vale's listings were buried under filters and pop-ups. A faster search with map and list views brought enquiries up without more ad spend.,2025,15 weeks,https://harborvale.example,false,2026-02-11,Next.js|MongoDB|Mapbox|Tailwind CSS,+43%:Enquiries per listing view|1.1s:Median search response,Agents stopped sending us screenshots of things that were broken. That says it all.,Daniel Osei,"Operations Director, Harbor & Vale","## The challenge\n\nSearch pages loaded slowly, filters reset when you navigated back, and a chat pop-up covered the first listing photo on mobile.\n\n## What we did\n\nWe moved search state into the URL so every result page is shareable and the back button behaves, added a synchronised map and list view, and removed the pop-up in favour of a persistent enquiry button.\n\n## The outcome\n\nEnquiries per listing view rose steadily and the agents reported fewer support requests about the site."
A knowledge base that answers before support does,,Corvid Analytics,saas,cms|web-development|seo,Corvid's docs lived in three places and nobody trusted them. One searchable knowledge base cut repeat tickets by a third.,2025,9 weeks,https://docs.corvid-analytics.example,false,2026-01-20,Next.js|Payload CMS|MongoDB,-33%:Repeat support tickets|+120%:Docs search usage,Support now links to an article instead of typing the same answer for the tenth time.,Lena Fischer,"Head of Support, Corvid Analytics","## The challenge\n\nProduct docs sat in a wiki, a help centre and a folder of PDFs. Articles contradicted one another and search returned duplicates.\n\n## What we did\n\nWe consolidated the content model into a single collection with versioned drafts, migrated and de-duplicated the archive, and built search that ranks by how often an article actually resolves a ticket.\n\n## The outcome\n\nRepeat tickets fell by a third and the support team gained a reliable source to point customers to."
"A coffee roaster's subscription, rebuilt for retention",,Tidewater Coffee,ecommerce,ecommerce|design|branding,Tidewater's subscribers cancelled because changing a delivery felt risky. Clear controls and honest reminders lifted retention.,2025,11 weeks,https://tidewater-coffee.example,true,2025-12-02,Next.js|Stripe|MongoDB|Tailwind CSS,"+27%:Six-month retention|-41%:Cancellations citing ""too much coffee""",Letting people skip a delivery without a fuss made them stay longer. Obvious in hindsight.,Ruth Adeyemi,"Founder, Tidewater Coffee","## The challenge\n\nSubscribers could pause or cancel but not easily skip, swap a bag or change frequency. Most who felt overstocked simply cancelled.\n\n## What we did\n\nWe rebuilt the account area around small, reversible actions, added a reminder before each shipment with one-tap skip and swap, and refreshed the brand voice to feel warmer and less transactional.\n\n## The outcome\n\nCancellations fell noticeably and retention at six months improved."
"A clinic network's find-a-doctor, done properly",,Brightpath Clinics,healthcare,web-development|seo|cms,Brightpath's 40 clinic pages were near-duplicates. A structured content model let each location rank for its own neighbourhood.,2025,13 weeks,https://brightpath-clinics.example,false,2025-10-21,Next.js|Payload CMS|MongoDB,+92%:Local search visits|40:Clinic pages generated from one template,Every clinic finally has a page that is accurate and unique. We update it once and it stays right.,Dr. Jonas Berg,"Clinical Operations, Brightpath","## The challenge\n\nClinic pages were copied from a template with the name changed. Opening hours were wrong on many, and none ranked locally.\n\n## What we did\n\nWe modelled clinics, practitioners and services as related collections, so each page pulls accurate details from a single source and adds local context written by the clinic teams.\n\n## The outcome\n\nLocal search visits nearly doubled and the operations team no longer chases outdated hours."
Quotes in minutes for a specialist insurer,,Atlas Insurance,fintech,web-development|design|performance,Atlas's broker portal needed a phone call to quote anything unusual. A guided quote tool handled most cases online.,2025,17 weeks,,false,2025-09-08,Next.js|Node.js|MongoDB|Tailwind CSS,70%:Quotes completed without a call|-2 days:Average time to bind,Brokers get an answer while the client is still on the line.,Vikram Patel,"Distribution Director, Atlas Insurance","## The challenge\n\nStandard cover could be quoted online, but anything specialist needed an underwriter call and a two-day wait.\n\n## What we did\n\nWe worked with underwriters to encode their rules as questions the tool could ask, with clear fallbacks for the cases that still need a human, and gave brokers a saved-quote view they could return to.\n\n## The outcome\n\nMost quotes now complete without a call and the time to bind dropped sharply."
